Student : Mr.A1_FN A1_LN
Student Number : 1111
Date Of Birth : 1/11/2000
-------< Marks >--------
Assignment 1 : 50.0
Assignment 2 : 60.0
Practical work  : 15.0
Final exam : 60.0
Overall mark : 60.5
Grade : C

Student : Mr.A2_FN A2_LN
Student Number : 1222
Date Of Birth : 2/12/2000
-------< Marks >--------
Assignment 1 : 60.0
Assignment 2 : 70.0
Practical work  : 16.0
Final exam : 65.0
Overall mark : 68.0
Grade : C

Student : Mr.A3_FN A3_LN
Student Number : 1333
Date Of Birth : 3/13/2000
-------< Marks >--------
Assignment 1 : 70.0
Assignment 2 : 80.0
Practical work  : 17.0
Final exam : 70.0
Overall mark : 75.5
Grade : D

Student : Mr.A4_FN A4_LN
Student Number : 1444
Date Of Birth : 4/14/2000
-------< Marks >--------
Assignment 1 : 80.0
Assignment 2 : 90.0
Practical work  : 18.0
Final exam : 75.0
Overall mark : 83.0
Grade : HD

Student : Mr.A5_FN A5_LN
Student Number : 1555
Date Of Birth : 5/15/2000
-------< Marks >--------
Assignment 1 : 90.0
Assignment 2 : 100.0
Practical work  : 19.0
Final exam : 80.0
Overall mark : 90.5
Grade : HD

